rules,confidence
"('33', '41', 'STB_2V5')->('5', '5', 'Temp_3')",0.975
"('33', '41', 'STB_2V5')->('6', '6', 'Temp_4')",0.975
"('19', '8', 'P5V')->('3', '11', 'Temp_3')",0.971
"('19', '8', 'P5V')->('6', '6', 'Temp_4')",0.971
"('13', '2', 'NIO_TOP1_Temp')->('13', '2', 'NIO_BOT2_Temp')",0.966
"('7', '11', 'STB_2V5')->('3', '11', 'Temp_3')",0.964
"('8', '11', 'STB_2V5')->('10', '10', 'Temp_3')",0.963
"('8', '11', 'STB_2V5')->('18', '42', 'Temp_1')",0.963
"('30', '31', 'NIO_BOT3_Temp')->('30', '31', 'NIO_BOT2_Temp')",0.963
"('7', '6', 'STB_2V5')->('9', '9', 'Temp_3')",0.955
"('7', '6', 'STB_2V5')->('39', '17', 'HW_N03_THERM')",0.955
"('7', '6', 'STB_2V5')->('1', '1', 'Temp_4')",0.955
"('13', '2', 'NIO_BOT3_Temp')->('13', '2', 'NIO_BOT2_Temp')",0.955
"('13', '2', 'NIO_BOT3_Temp')->('13', '2', 'NIO_TOP1_Temp')",0.955
"('39', '26', 'NIO_TOP1_Temp')->('6', '42', 'Temp_4')",0.952
"('1', '12', 'STB_2V5')->('7', '10', 'Temp_2')",0.952
"('19', '10', 'STB_2V5')->('6', '6', 'Temp_4')",0.952
"('21', '7', 'Temp_4')->('22', '12', 'Temp_1')",0.952
"('1', '12', 'STB_2V5')->('6', '6', 'Temp_4')",0.952
"('19', '10', 'STB_2V5')->('3', '11', 'Temp_3')",0.952
"('1', '12', 'STB_2V5')->('5', '13', 'Temp_1')",0.952
"('30', '31', 'NIO_BOT1_Temp')->('30', '31', 'NIO_BOT2_Temp')",0.952
"('1', '12', 'STB_2V5')->('5', '5', 'Temp_3')",0.952
"('23', '4', 'STB_2V5')->('8', '8', 'Temp_4')",0.951
"('23', '4', 'STB_2V5')->('6', '6', 'Temp_4')",0.951
"('23', '4', 'STB_2V5')->('7', '10', 'Temp_2')",0.951
"('23', '4', 'STB_2V5')->('5', '5', 'Temp_3')",0.951
"('33', '41', 'STB_2V5')->('3', '11', 'Temp_3')",0.95
"('33', '41', 'STB_2V5')->('7', '10', 'Temp_2')",0.95
"('19', '8', 'P5V')->('5', '5', 'Temp_3')",0.943
"('8', '8', 'Temp_4')->('6', '6', 'Temp_4')",0.932
"('7', '11', 'STB_2V5')->('6', '6', 'Temp_3')",0.929
"('9', '43', 'Temp_1')->('22', '12', 'Temp_1')",0.92
"('39', '26', 'NIO_BOT2_Temp')->('6', '42', 'Temp_4')",0.92
"('7', '13', 'STB_2V5')->('9', '9', 'Temp_3')",0.92
"('21', '12', 'STB_2V5')->('4', '12', 'Temp_4')",0.92
"('21', '12', 'STB_2V5')->('9', '5', 'Temp_3')",0.92
"('8', '8', 'Temp_4')->('5', '5', 'Temp_3')",0.917
"('39', '39', 'NIO_TOP0_Temp')->('39', '39', 'NIO_TOP1_Temp')",0.917
"('39', '39', 'NIO_TOP0_Temp')->('39', '39', 'NIO_BOT2_Temp')",0.917
"('19', '8', 'P5V')->('7', '10', 'Temp_2')",0.914
"('21', '12', 'Temp_4')->('1', '1', 'Temp_4')",0.912
"('39', '35', 'NIO_BOT0_Temp')->('3', '5', 'Temp_1')",0.909
"('9', '43', 'Temp_1')->('5', '12', 'Temp_1')",0.909
"('30', '17', 'NIO_BOT3_Temp')->('6', '42', 'Temp_4')",0.909
"('7', '6', 'STB_2V5')->('10', '10', 'P5V')",0.909
"('39', '37', 'NIO_BOT2_Temp')->('39', '37', 'NIO_TOP3_Temp')",0.897
"('8', '11', 'Temp_4')->('16', '12', 'Temp_1')",0.897
"('15', '50', 'NIO_BOT0_Temp')->('6', '6', 'Temp_4')",0.895
"('16', '1', 'Temp_4')->('1', '4', 'Temp_4')",0.895
"('7', '11', 'STB_2V5')->('7', '10', 'Temp_2')",0.893
"('21', '12', 'STB_2V5')->('10', '10', 'Temp_3')",0.88
"('7', '13', 'STB_2V5')->('1', '1', 'Temp_4')",0.88
"('30', '31', 'NIO_BOT0_Temp')->('30', '31', 'NIO_BOT2_Temp')",0.875
"('33', '41', 'STB_2V5')->('8', '8', 'Temp_4')",0.875
"('9', '45', 'Temp_3')->('22', '12', 'Temp_1')",0.875
"('35', '15', 'Temp_1')->('5', '12', 'Temp_1')",0.875
"('39', '35', 'NIO_BOT1_Temp')->('3', '5', 'Temp_1')",0.871
"('39', '20', 'HW_N01_THERM')->('8', '5', 'Temp_4')",0.867
"('19', '12', 'Temp_4')->('22', '12', 'Temp_1')",0.861
"('15', '50', 'NIO_BOT0_Temp')->('10', '12', 'Temp_1')",0.86
"('23', '12', 'Temp_1')->('3', '13', 'Temp_3')",0.857
"('7', '11', 'STB_2V5')->('6', '6', 'Temp_4')",0.857
"('5', '5', 'Temp_3')->('6', '6', 'Temp_4')",0.853
"('21', '12', 'Temp_4')->('9', '9', 'Temp_3')",0.853
"('8', '11', 'STB_2V5')->('10', '13', 'Temp_1')",0.852
"('39', '39', 'NIO_TOP1_Temp')->('39', '39', 'NIO_BOT2_Temp')",0.852
"('3', '6', 'Temp_4')->('22', '12', 'Temp_1')",0.85
"('35', '15', 'Temp_1')->('9', '43', 'Temp_1')",0.85
"('35', '15', 'Temp_1')->('9', '45', 'Temp_3')",0.85
"('3', '6', 'Temp_4')->('19', '12', 'Temp_4')",0.85
"('39', '17', 'HW_N03_THERM')->('1', '1', 'Temp_4')",0.848
"('5', '13', 'Temp_1')->('5', '5', 'Temp_3')",0.847
"('2', '2', 'HW_N07_THERM')->('5', '5', 'Temp_3')",0.845
"('21', '12', 'STB_2V5')->('10', '13', 'Temp_1')",0.84
"('21', '12', 'STB_2V5')->('18', '42', 'Temp_1')",0.84
"('39', '35', 'NIO_BOT1_Temp')->('6', '42', 'Temp_4')",0.839
"('39', '35', 'NIO_BOT1_Temp')->('10', '13', 'Temp_1')",0.839
"('8', '8', 'Temp_4')->('7', '10', 'Temp_2')",0.838
"('15', '37', 'HW_N06_THERM')->('15', '37', 'HW_N02_THERM')",0.833
"('15', '37', 'HW_N02_THERM')->('15', '37', 'HW_N06_THERM')",0.833
"('7', '10', 'Temp_2')->('6', '6', 'Temp_4')",0.83
"('35', '15', 'Temp_1')->('5', '15', 'Temp_1')",0.825
"('35', '15', 'Temp_1')->('22', '12', 'Temp_1')",0.825
"('15', '50', 'NIO_BOT0_Temp')->('8', '8', 'Temp_4')",0.825
"('1', '43', 'Temp_4')->('3', '5', 'Temp_1')",0.823
"('39', '20', 'HW_N01_THERM')->('22', '12', 'Temp_1')",0.822
"('39', '39', 'NIO_BOT2_Temp')->('39', '39', 'NIO_TOP1_Temp')",0.821
"('6', '6', 'Temp_4')->('5', '5', 'Temp_3')",0.82
"('5', '13', 'Temp_1')->('7', '10', 'Temp_2')",0.816
"('10', '13', 'Temp_1')->('7', '9', 'Temp_3')",0.815
"('39', '26', 'NIO_TOP2_Temp')->('9', '5', 'Temp_3')",0.815
"('39', '39', 'NIO_TOP1_Temp')->('39', '39', 'NIO_TOP0_Temp')",0.815
"('7', '10', 'Temp_2')->('5', '5', 'Temp_3')",0.813
"('39', '17', 'HW_N04_THERM')->('9', '9', 'Temp_3')",0.809
"('39', '17', 'HW_N04_THERM')->('1', '1', 'Temp_4')",0.809
"('5', '1', 'Temp_1')->('18', '42', 'Temp_1')",0.808
"('39', '35', 'NIO_BOT1_Temp')->('3', '42', 'Temp_4')",0.806
"('15', '20', 'HW_N01_THERM')->('9', '5', 'Temp_3')",0.805
"('39', '26', 'NIO_BOT1_Temp')->('9', '5', 'Temp_3')",0.8
"('35', '15', 'Temp_1')->('21', '7', 'Temp_1')",0.8
"('39', '26', 'NIO_BOT2_Temp')->('8', '5', 'Temp_4')",0.8
"('39', '20', 'HW_N01_THERM')->('35', '1', 'Temp_1')",0.8
"('16', '1', 'Temp_4')->('5', '3', 'Temp_1')",0.793
"('39', '46', 'NIO_TOP0_Temp')->('9', '5', 'Temp_3')",0.793
"('16', '1', 'Temp_4')->('1', '4', 'Temp_4')",0.793
"('39', '17', 'HW_N03_THERM')->('9', '9', 'Temp_3')",0.793
"('22', '4', 'Temp_3')->('10', '13', 'Temp_1')",0.79
"('39', '35', 'NIO_BOT0_Temp')->('10', '13', 'Temp_1')",0.788
"('9', '9', 'Temp_3')->('1', '1', 'Temp_4')",0.787
"('39', '39', 'NIO_BOT2_Temp')->('39', '39', 'NIO_TOP0_Temp')",0.786
"('22', '12', 'Temp_1')->('5', '12', 'Temp_1')",0.784
"('9', '45', 'Temp_3')->('5', '12', 'Temp_1')",0.781
"('6', '6', 'Temp_3')->('3', '11', 'Temp_3')",0.779
"('19', '12', 'Temp_4')->('35', '1', 'Temp_1')",0.778
"('5', '13', 'Temp_1')->('6', '6', 'Temp_4')",0.777
"('33', '41', 'STB_2V5')->('23', '4', 'STB_2V5')",0.775
"('3', '11', 'Temp_3')->('5', '5', 'Temp_3')",0.774
"('15', '50', 'NIO_BOT0_Temp')->('7', '10', 'Temp_2')",0.772
"('23', '4', 'STB_2V5')->('5', '13', 'Temp_1')",0.77
"('18', '5', 'Temp_1')->('35', '1', 'Temp_1')",0.77
"('6', '5', 'Temp_3')->('8', '3', 'Temp_4')",0.768
"('19', '45', 'STB_2V5')->('10', '13', 'Temp_1')",0.767
"('5', '13', 'Temp_4')->('5', '11', 'Temp_4')",0.767
"('5', '7', 'Temp_1')->('6', '6', 'Temp_3')",0.766
"('5', '1', 'Temp_1')->('8', '3', 'Temp_4')",0.763
"('5', '7', 'Temp_1')->('1', '1', 'Temp_4')",0.763
"('5', '5', 'Temp_3')->('7', '10', 'Temp_2')",0.762
"('39', '26', 'NIO_BOT0_Temp')->('9', '5', 'Temp_3')",0.759
"('8', '11', 'Temp_4')->('5', '1', 'Temp_1')",0.759
"('39', '30', 'HW_N06_THERM')->('39', '27', 'HW_N00_THERM')",0.759
"('16', '1', 'Temp_4')->('21', '7', 'Temp_1')",0.759
"('39', '37', 'NIO_BOT2_Temp')->('39', '37', 'NIO_TOP2_Temp')",0.759
"('39', '46', 'NIO_TOP0_Temp')->('4', '12', 'Temp_4')",0.759
"('2', '2', 'HW_N07_THERM')->('6', '6', 'Temp_4')",0.758
"('1', '43', 'Temp_4')->('9', '5', 'Temp_3')",0.758
"('2', '39', 'NIO_BOT3_Temp')->('1', '1', 'Temp_4')",0.758
"('39', '35', 'NIO_BOT0_Temp')->('10', '10', 'Temp_3')",0.758
"('6', '6', 'Temp_3')->('5', '5', 'Temp_3')",0.757
"('3', '11', 'Temp_3')->('6', '6', 'Temp_3')",0.755
"('1', '43', 'Temp_4')->('5', '3', 'Temp_1')",0.754
"('5', '11', 'Temp_4')->('5', '15', 'Temp_1')",0.75
"('10', '9', 'P3V3_1_IOUT')->('5', '5', 'Temp_3')",0.75
"('7', '11', 'STB_2V5')->('4', '10', 'P3V3_1_IOUT')",0.75
"('39', '35', 'NIO_TOP3_Temp')->('10', '10', 'Temp_3')",0.75
"('10', '9', 'P3V3_1_IOUT')->('6', '6', 'Temp_4')",0.75
"('6', '6', 'Temp_4')->('7', '10', 'Temp_2')",0.748
"('19', '8', 'P5V')->('33', '41', 'STB_2V5')",0.743
"('30', '16', 'HW_N00_THERM')->('9', '9', 'Temp_3')",0.742
"('8', '11', 'STB_2V5')->('4', '12', 'Temp_4')",0.741
"('6', '5', 'Temp_3')->('18', '42', 'Temp_1')",0.737
"('15', '50', 'NIO_BOT0_Temp')->('5', '5', 'Temp_3')",0.737
"('5', '5', 'Temp_4')->('3', '5', 'Temp_1')",0.737
"('21', '12', 'Temp_4')->('39', '17', 'HW_N03_THERM')",0.735
"('4', '12', 'Temp_4')->('9', '5', 'Temp_3')",0.735
"('39', '20', 'HW_N01_THERM')->('18', '5', 'Temp_1')",0.733
"('5', '4', 'Temp_1')->('3', '5', 'Temp_1')",0.732
"('3', '11', 'Temp_3')->('6', '6', 'Temp_4')",0.732
"('5', '13', 'Temp_1')->('8', '8', 'Temp_4')",0.731
"('8', '8', 'Temp_4')->('5', '13', 'Temp_1')",0.73
"('10', '13', 'Temp_1')->('10', '10', 'Temp_3')",0.73
"('39', '39', 'NIO_BOT2_Temp')->('9', '5', 'Temp_3')",0.729
"('5', '4', 'Temp_1')->('10', '13', 'Temp_1')",0.728
"('7', '8', 'Temp_3')->('6', '6', 'Temp_3')",0.727
"('9', '43', 'Temp_1')->('8', '5', 'Temp_4')",0.727
"('13', '2', 'NIO_TOP1_Temp')->('18', '42', 'Temp_1')",0.724
"('13', '2', 'NIO_TOP1_Temp')->('13', '2', 'NIO_BOT3_Temp')",0.724
"('8', '5', 'Temp_4')->('7', '9', 'Temp_3')",0.721
"('18', '5', 'Temp_1')->('8', '5', 'Temp_4')",0.72
"('15', '50', 'NIO_BOT0_Temp')->('5', '13', 'Temp_1')",0.719
"('9', '45', 'Temp_3')->('9', '43', 'Temp_1')",0.719
"('10', '9', 'P3V3_1_IOUT')->('3', '11', 'Temp_3')",0.719
"('13', '2', 'NIO_BOT2_Temp')->('13', '2', 'NIO_TOP1_Temp')",0.718
"('39', '37', 'NIO_TOP2_Temp')->('39', '37', 'NIO_TOP3_Temp')",0.717
"('39', '35', 'NIO_TOP3_Temp')->('5', '8', 'Temp_4')",0.714
"('5', '1', 'Temp_4')->('22', '4', 'Temp_1')",0.714
"('7', '11', 'STB_2V5')->('10', '12', 'Temp_1')",0.714
"('5', '3', 'Temp_1')->('3', '5', 'Temp_1')",0.711
"('30', '16', 'HW_N00_THERM')->('1', '1', 'Temp_4')",0.71
"('15', '27', 'HW_N01_THERM')->('22', '12', 'Temp_1')",0.708
"('10', '13', 'Temp_4')->('1', '1', 'Temp_4')",0.708
"('5', '5', 'Temp_3')->('8', '8', 'Temp_4')",0.708
"('22', '12', 'Temp_1')->('35', '1', 'Temp_1')",0.707
"('6', '6', 'Temp_3')->('6', '6', 'Temp_4')",0.706
"('21', '12', 'Temp_4')->('6', '6', 'Temp_4')",0.706
"('15', '50', 'NIO_BOT0_Temp')->('6', '6', 'Temp_3')",0.702
"('3', '6', 'Temp_4')->('8', '5', 'Temp_4')",0.7